code,parent,label_et
A,,"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK"
2441,244,Väärismetallitootmine
24411,2441,Väärismetallitootmine
2442,244,Alumiiniumitootmine
24421,2442,Alumiiniumitootmine
2443,244,"Plii-, tsingi- ja tinatootmine"
24431,2443,"Plii-, tsingi- ja tinatootmine"
2444,244,Vasetootmine
24441,2444,Vasetootmine
2445,244,Muude mitteraudmetallide tootmine
24451,2445,Muude mitteraudmetallide tootmine
2446,244,Tuumkütuse töötlemine
24461,2446,Tuumkütuse töötlemine
245,24,Metallivalu
2451,245,Malmivalu
24511,2451,Malmivalu
2452,245,Terasevalu
24521,2452,Terasevalu
2453,245,Kergmetallide valu
24531,2453,Kergmetallide valu
2454,245,Muude mitteraudmetallide valu
24541,2454,Muude mitteraudmetallide valu
25,C,"Metalltoodete tootmine, v.a masinad ja seadmed"
251,25,Metallkonstruktsioonide tootmine
2511,251,Metallkonstruktsioonide ja nende osade tootmine
25111,2511,Kokkupandavate metallehitiste tootmine
25119,2511,Muude metallkonstruktsioonide ja nende osade tootmine
2512,251,Metalluste ja -akende tootmine
25121,2512,Metalluste ja -akende tootmine
252,25,"Metallpaakide, -reservuaaride ja -mahutite tootmine"
2521,252,"Keskkütteradiaatorite, aurukatelde ja kuumaveekatelde tootmine"
25211,2521,"Keskkütteradiaatorite, aurukatelde ja kuumaveekatelde tootmine"
2522,252,"Muude metallpaakide, -reservuaaride ja -mahutite tootmine"
25221,2522,"Muude metallpaakide, -reservuaaride ja -mahutite tootmine"
253,25,Relva- ja laskemoonatootmine
2530,253,Relva- ja laskemoonatootmine
25301,2530,Relva- ja laskemoonatootmine
254,25,Metalli sepistamine ja vormimine ning pulbermetallurgia
2540,254,Metalli sepistamine ja vormimine ning pulbermetallurgia
25401,2540,Metalli sepistamine ja vormimine ning pulbermetallurgia
255,25,Metallitöötlus ja metallpindade katmine; mehaaniline metallitöötlus
2551,255,Metallpindade katmine
25511,2551,Metallpindade katmine
2552,255,Metallide kuumtöötlemine
25521,2552,Metallide kuumtöötlemine
2553,255,Mehaaniline metallitöötlus
25531,2553,Mehaaniline metallitöötlus
256,25,Lõike- ja tööriistade ning rauakaupade tootmine
2561,256,Lõike- ja söögiriistade tootmine
25611,2561,Lõike- ja söögiriistade tootmine
2562,256,Lukkude ja hingede tootmine
25621,2562,Lukkude ja hingede tootmine
2563,256,Tööriistade tootmine
25631,2563,Tööriistade tootmine
259,25,Muude metalltoodete tootmine
2591,259,Terasvaatide jms mahutite tootmine
25911,2591,Terasvaatide jms mahutite tootmine
2592,259,Kergmetalltaara tootmine
25921,2592,Kergmetalltaara tootmine
2593,259,"Traaditoodete, kettide ja vedrude tootmine"
25931,2593,"Traaditoodete, kettide ja vedrude tootmine"
2594,259,Kinnituselementide ja keermestatud toodete tootmine
25941,2594,Kinnituselementide ja keermestatud toodete tootmine
2599,259,Mujal liigitamata metalltoodete tootmine
25991,2599,Mujal liigitamata metalltoodete tootmine
